Name,Year of release,Original Network,Number of Episodes,Duration,Content Rating,Rating,Genre,Cast,Rank
Moon Lovers,2016,SBS,20,60 min.,15+ - Teens 15 or older,8.7,historical  romance  melodrama,"Lee Joon Gi, IU, Kang Ha Neul, Hong Jong Hyun, Nam Joo Hyuk, Byun Baek Hyun",#57
A Business Proposal,2022,"Netflix, SBS",12,60 min.,15+ - Teens 15 or older,8.7,comedy  romance  drama,"Shin Ha Ri is a single woman and works for a company. She has a male friend, who she has had a crush on for a long time, but she learns he has a girlfriend. Shin Ha Ri feels sad and decides to meet her friend Jin Young Seo, who is a daughter of a chaebol family. Jin Young Seo then asks Shin Ha Ri to take her place in a blind date and even offers some money for her time. Shin Ha Ri accepts her friend's offer. She goes out on the blind date as Jin Young Seo, while having the intention to get rejected by her date. When she sees her blind date, Shin Ha Ri is dumbfounded. Her blind date is Kang Tae Mu. He is the CEO of the company where she works. Kang Tae Mu is the CEO of a company that his grandfather founded. One day, his grandfather informed him of an upcoming blind date that he set up for him. Kang Tae Mu is a workaholic and he is annoyed that his grandfather sets up blind dates for him. He decides to marry the next woman whom he meets at a blind date, so he won't be disturbed from his work anymore. That woman is Shin Ha Ri, but pretending to be Jin Young Seo. On the following day, Shin Ha Ri receives a phone call from Kang Tae Mu. He asks her to marry him.",#58
Misaeng,2014,tvN,20,1 hr. 20 min.,15+ - Teens 15 or older,8.7,friendship  business  life  drama,"Im Si Wan, Lee Sung Min, Kang So Ra, Kang Ha Neul, Byun Yo Han, Kim Dae Myung",#59
Strong Woman Do Bong Soon,2017,jTBC,16,1 hr. 7 min.,15+ - Teens 15 or older,8.7,action  thriller  comedy  romance  drama  supernatural,"Park Bo Young, Park Hyung Sik, Kim Ji Soo, Jun Suk Ho, Shim Hye Jin, Yoo Jae Myung",#60
The Fiery Priest,2019,SBS,40,35 min.,15+ - Teens 15 or older,8.7,action  mystery  comedy  crime,"Kim Nam Gil, Kim Sung Kyun, Lee Ha Nee, Go Jun, Geum Sae Rok, Jeon Sung Woo",#61
My Name,2021,Netflix,8,50 min.,18+ Restricted (violence & profanity),8.7,action  thriller  crime,"Han So Hee, Park Hee Soon , Ahn Bo Hyun, Lee Hak Joo, Kim  Sang Ho, Jang Yool",#62
Hotel del Luna,2019,tvN,16,1 hr. 20 min.,15+ - Teens 15 or older,8.7,horror  comedy  romance  fantasy,"IU, Yeo Jin Goo, Shin Jung Keun, Bae Hae Seon, P.O, Jo Hyun Chul",#63
Hot Stove League,2019,SBS,16,1 hr. 2 min.,15+ - Teens 15 or older,8.7,drama  sports  melodrama,"Namkoong Min, Park Eun Bin, Cho Byeong Kyu, Oh Jung Se, Son Jong Hak, Kim Do Hyun",#64
Dr. Romantic,2016,SBS,20,60 min.,15+ - Teens 15 or older,8.7,romance  drama  medical,"Han Seok Kyu, Yoo Yeon Seok, Seo Hyun Jin, Choi Jin Ho, Yang Se Jong, Jang Hyuk Jin",#65
Descendants of the Sun,2016,KBS2,16,60 min.,15+ - Teens 15 or older,8.7,action  comedy  romance  melodrama,"Song Joong Ki, Song Hye Kyo, Jin Goo, Kim Ji Won, Lee Seung Jun, Seo Jung Yeon",#66
Law School,2021,"jTBC,  Netflix ",16,1 hr. 5 min.,15+ - Teens 15 or older,8.7,mystery  law  crime  drama,"Kim Myung Min, Kim Bum, Ryu Hye Young, Lee Jung Eun, Lee Soo Kyung, Lee David",#67
Strangers from Hell,2019,OCN,10,60 min.,15+ - Teens 15 or older,8.7,thriller  horror  psychological  drama,"Im Si Wan, Lee Dong Wook, Lee Jung Eun, Ahn Eun Jin, Park Jong Hwan, Lee Joong Ok",#68
Live,2018,"Netflix,  tvN ",18,1 hr. 15 min.,15+ - Teens 15 or older,8.7,friendship  comedy  romance  crime,"Lee Kwang Soo, Jung Yu Mi, Bae Sung Woo, Bae Jong Ok, Sung Dong Il, Jang Hyun Sung",#69
Tunnel,2017,OCN,16,60 min.,15+ - Teens 15 or older,8.7,thriller  mystery  sci-fi  fantasy,"Choi Jin Hyuk, Yoon Hyun Min, Lee Yoo Young, Jo Hee Bong, Kim Byung Chul, Kang Ki Young",#70
My Liberation Notes,2022,"jTBC, Netflix",16,1 hr. 7 min.,15+ - Teens 15 or older,8.6,romance  life  drama  melodrama,"Kim Ji Won, Lee Min Ki, Son Seok Koo, Lee El, Lee Ki Woo, Chun Ho Jin",#71
Partners for Justice 2,2019,MBC,32,35 min.,15+ - Teens 15 or older,8.6,mystery  law  drama  medical,"Jung Jae Young, Jung Yoo Mi, Oh Man Suk, Noh Min Woo, Kang Seung Hyun, Park Jun Gyu",#72
